topic,rank,term,weight
topic_1,1,people,1.4329110953889415
topic_1,2,think,1.2326635855676644
topic_1,3,like,1.225547046834563
topic_1,4,good,1.1204876233224526
topic_1,5,don,1.0938230537453266
topic_1,6,want,1.062772835416413
topic_1,7,help,1.0240269809959563
topic_1,8,just,1.004999774505065
topic_2,1,electoral,1.976985619108772
topic_2,2,vote,1.6713619336466574
topic_2,3,college,1.628294252340485
topic_2,4,president,1.4161333880179965
topic_2,5,popular,1.10207965602741
topic_2,6,votes,1.1013317003587284
topic_2,7,election,1.0964136389036325
topic_2,8,states,1.0066869226089743
topic_3,1,car,1.3517032477981432
topic_3,2,cars,1.208803305580918
topic_3,3,usage,1.182784499127379
topic_3,4,limiting,1.0126775522028744
topic_3,5,pollution,0.9356654663671834
topic_3,6,air,0.921239022285037
topic_3,7,transportation,0.8770525685113235
topic_3,8,reduce,0.7049810718446826
topic_4,1,venus,2.435277700151341
topic_4,2,planet,1.3209541785866128
topic_4,3,earth,1.25878372979619
topic_4,4,author,1.224527832874174
topic_4,5,surface,0.909490227338595
topic_4,6,dangers,0.7373614498852912
topic_4,7,exploring,0.7288633331527826
topic_4,8,studying,0.7053973003617738
topic_5,1,students,2.0039399311719683
topic_5,2,school,1.3618485128717823
topic_5,3,student,1.048710332630421
topic_5,4,learning,0.8507906914666912
topic_5,5,classes,0.787827433189916
topic_5,6,teachers,0.7144790872882805
topic_5,7,teacher,0.6711494001665611
topic_5,8,work,0.656650721166969
topic_6,1,facial,1.2511936046181698
topic_6,2,emotions,1.2210718647880725
topic_6,3,technology,0.9512588687605416
topic_6,4,computer,0.9006751026490807
topic_6,5,coding,0.8122293916224844
topic_6,6,expressions,0.7906068055245592
topic_6,7,action,0.7862506392950172
topic_6,8,classroom,0.7043090446328193
topic_7,1,driverless,1.229677807438139
topic_7,2,phones,1.045929809244464
topic_7,3,driving,1.044456857727789
topic_7,4,phone,1.0112232070020015
topic_7,5,cars,0.9964447933858908
topic_7,6,car,0.9467235065810123
topic_7,7,cell,0.8984128702317116
topic_7,8,driver,0.8833378408745086
topic_8,1,mars,1.4495402538737947
topic_8,2,face,1.4077972545822737
topic_8,3,landform,1.1011724194013468
topic_8,4,natural,0.9671284221335992
topic_8,5,aliens,0.9377457771089857
topic_8,6,alien,0.8205599372386095
topic_8,7,nasa,0.7292424129535107
topic_8,8,picture,0.7057220220794949
