model,slice,value,support,errors,error_rate,false_positives,false_negatives,accuracy,precision,recall,f1
Logistic Regression,truncation,not_truncated,30823,153,0.0049638257145637995,22,131,0.9950361742854362,0.9984450098953915,0.9908115311776671,0.9946136243619081
Logistic Regression,truncation,truncated,15600,36,0.002307692307692308,14,22,0.9976923076923077,0.9962284482758621,0.9940860215053764,0.9951560818083961
Logistic Regression,word_length_bin,101-250,8117,37,0.004558334359985216,10,27,0.9954416656400148,0.9967051070840197,0.9911533420707732,0.9939214719894858
Logistic Regression,word_length_bin,251-500,28721,132,0.004595940252776714,17,115,0.9954040597472232,0.9987177553175441,0.9913896376160527,0.9950402044036973
Logistic Regression,word_length_bin,0-100,155,8,0.05161290322580645,0,8,0.9483870967741935,1.0,0.9455782312925171,0.972027972027972
Logistic Regression,word_length_bin,501-750,7581,9,0.001187178472497032,6,3,0.998812821527503,0.9954921111945906,0.9977409638554217,0.9966152688980819
Logistic Regression,word_length_bin,751+,1849,3,0.0016224986479177934,3,0,0.9983775013520823,0.9690721649484536,1.0,0.9842931937172775
Logistic Regression,true_label,human,28446,36,0.0012655557899177389,36,0,0.9987344442100823,0.0,0.0,0.0
Logistic Regression,true_label,AI-generated,17977,153,0.00851087500695333,0,153,0.9914891249930466,1.0,0.9914891249930466,0.9957263763582023
Logistic Regression,opening_style,salutation,4989,14,0.0028061735818801364,0,14,0.9971938264181198,1.0,0.9908972691807543,0.9954278249510125
Logistic Regression,opening_style,other,36578,135,0.0036907430696046803,30,105,0.9963092569303953,0.9980637666193365,0.9932558288907444,0.9956539934970866
Logistic Regression,opening_style,opening_question,4856,40,0.008237232289950576,6,34,0.9917627677100495,0.9928741092636579,0.960919540229885,0.9766355140186916
Linear SVM,truncation,not_truncated,30823,15,0.00048664957985919606,5,10,0.9995133504201408,0.9996491720460287,0.9992985901662341,0.9994738503630433
Linear SVM,truncation,truncated,15600,4,0.0002564102564102564,0,4,0.9997435897435898,1.0,0.9989247311827957,0.9994620763851533
Linear SVM,word_length_bin,101-250,8117,2,0.00024639645189109276,0,2,0.9997536035481089,1.0,0.9993446920052425,0.9996722386102918
Linear SVM,word_length_bin,251-500,28721,16,0.000557083667003238,5,11,0.9994429163329968,0.999625468164794,0.9991764001197964,0.9994008836965476
Linear SVM,word_length_bin,0-100,155,1,0.0064516129032258064,0,1,0.9935483870967742,1.0,0.9931972789115646,0.9965870307167235
Linear SVM,word_length_bin,501-750,7581,0,0.0,0,0,1.0,1.0,1.0,1.0
Linear SVM,word_length_bin,751+,1849,0,0.0,0,0,1.0,1.0,1.0,1.0
Linear SVM,true_label,human,28446,5,0.00017577163748857484,5,0,0.9998242283625114,0.0,0.0,0.0
Linear SVM,true_label,AI-generated,17977,14,0.0007787728764532459,0,14,0.9992212271235468,1.0,0.9992212271235468,0.9996104618809126
Linear SVM,opening_style,salutation,4989,1,0.00020044097013429546,0,1,0.9997995590298657,1.0,0.9993498049414824,0.9996747967479674
Linear SVM,opening_style,other,36578,12,0.00032806605063152714,2,10,0.9996719339493685,0.9998714735556841,0.9993576979895947,0.9996145197558625
Linear SVM,opening_style,opening_question,4856,6,0.0012355848434925864,3,3,0.9987644151565074,0.996551724137931,0.996551724137931,0.996551724137931
DistilBERT,truncation,not_truncated,30823,38,0.0012328456023099634,22,16,0.99876715439769,0.9984575475005258,0.9988777442659746,0.9986676016830295
DistilBERT,truncation,truncated,15600,12,0.0007692307692307692,7,5,0.9992307692307693,0.9981192907039226,0.9986559139784946,0.9983875302338081
DistilBERT,word_length_bin,101-250,8117,4,0.0004927929037821855,4,0,0.9995072070962178,0.9986910994764397,1.0,0.9993451211525868
DistilBERT,word_length_bin,251-500,28721,40,0.001392709167508095,19,21,0.9986072908324919,0.9985772053317358,0.9984276729559748,0.9985024335454886
DistilBERT,word_length_bin,0-100,155,0,0.0,0,0,1.0,1.0,1.0,1.0
DistilBERT,word_length_bin,501-750,7581,6,0.0007914523149980214,6,0,0.999208547685002,0.9955022488755623,1.0,0.9977460555972952
DistilBERT,word_length_bin,751+,1849,0,0.0,0,0,1.0,1.0,1.0,1.0
DistilBERT,true_label,human,28446,29,0.0010194754974337341,29,0,0.9989805245025662,0.0,0.0,0.0
DistilBERT,true_label,AI-generated,17977,21,0.0011681593146798687,0,21,0.9988318406853202,1.0,0.9988318406853202,0.9994155789942393
DistilBERT,opening_style,salutation,4989,3,0.0006013229104028864,3,0,0.9993986770895971,0.9980532121998702,1.0,0.9990256576810653
DistilBERT,opening_style,other,36578,33,0.0009021816392366997,18,15,0.9990978183607633,0.9988440791163627,0.999036546984392,0.9989403037795832
DistilBERT,opening_style,opening_question,4856,14,0.002883031301482702,8,6,0.9971169686985173,0.9908256880733946,0.993103448275862,0.9919632606199771
